region,position,song_name,song_id,views,duration_ms,popularity,artist_name,artist_id,album_name,album_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Global,42,2/Catorce,71R8HJxQk5qMiRstrlXN9t,12511061,212031,89,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,2/Catorce,23ceOvjypWsCUj9ZrW8Fno,2021-02-14,0.54,0.455,3,-5.988,1,0.224,0.675,1.08e-05,0.12,0.432,83.876,"['puerto rican pop', 'trap latino']"
Global,43,Heat Waves,02MWAaffLxlfxAUY7c5dvx,12377323,238805,85,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Dreamland (+ Bonus Levels),0KTj6k94XZh0c6IEMfxeWV,2020-08-06,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"['gauze pop', 'indietronica', 'shiver pop']"
Global,44,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,12115602,140533,91,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,El Dorado,270o30h7cAlEhBnbuSpFZq,2021-03-26,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,['cali rap']
Global,45,Runaway,1v1oIWf2Xgh54kIWuKsDf6,12041898,248826,88,AURORA,1WgXqy2Dd70QQOU7Ay074N,All My Demons Greeting Me As A Friend (Deluxe),6YMSXPIHkA2jPIlFHuejXW,2016-03-11,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,"['art pop', 'norwegian pop']"
Global,46,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,11888433,174000,90,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,"['pop', 'post-teen pop']"
Global,47,Beautiful Mistakes (feat. Megan Thee Stallion),6fRxMU4LWwyaSSowV441IU,11873308,227395,91,Maroon 5,04gDigrS5kc9YWfZHwBETP,Beautiful Mistakes (feat. Megan Thee Stallion),4jGaPN2gEpKciN02ZKRShT,2021-03-03,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,"['pop', 'pop rock']"
Global,48,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,11671053,150052,90,ATB,7jZM5w05mGhw6wTB1okhD9,Your Love (9PM),7F9yYqHRtIZnEGF2tANI4b,2021-01-15,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,"['german dance', 'german techno', 'german trance', 'trance']"
Global,49,Hold On,1nahzW3kfMuwReTka28tH5,11303990,170813,85,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justice,5dGWwsZ9iB2Xc3UKR0gif2,2021-03-19,0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,"['canadian pop', 'pop', 'post-teen pop']"
Global,50,Up,1M4OcYkxAtu3ErzSgDEfoi,11063510,156944,82,Cardi B,4kYSro6naA4h99UJvo89HB,Up (Instrumental),0Fe4Uj7GkgA1uDGGk8s92C,2021-02-04,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,"['dance pop', 'pop', 'pop rap', 'rap']"
Australia,1,good 4 u,4ZtFanR9U6ndgddUvNcjcG,3972048,178146,93,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,['pop']
